date,bleach,bleachR,bleachG,bleachB,survival
1,118.76123,151.038346,118.8045139,90.10383868,100
2,125.3716314,160.8368394,121.5726049,95.36081658,100
3,145.4996074,167.6501904,150.1156308,122.4996993,98
4,183.6532028,211.431367,183.7496384,156.9016754,93
5,161.1878574,177.3038843,168.0248613,142.189799,91
6,166.9168406,192.1965396,175.3919205,141.1993163,84
7,197.1087415,226.1864862,203.1120913,175.6747637,78
8,200.4379448,220.5381323,209.6366027,176.5276599,65
9,195.7439641,210.8371455,206.2755436,177.8230297,25
10,114.4243801,143.2767518,120.5563476,86.56034695,13
11,86.59339057,120.8962424,87.56020441,58.41414356,13
12,58.33534561,86.48033224,62.47604423,35.14038079,13
1,112.4090387,144.4278667,118.0956046,80.43042766,98
2,117.4465152,156.0967338,118.3009355,81.07434955,98
3,182.6912823,211.5433427,188.4621413,153.8864034,98
4,173.5422183,199.279756,181.2633537,147.1057572,98
5,168.8443646,182.8291203,178.6297699,149.087791,91
6,196.3687208,222.8123052,203.5191839,170.3460873,90
7,195.0639234,233.6876614,202.7160693,174.8357765,88
8,178.8398988,197.3705799,187.9372735,157.7205409,66
9,140.0671673,161.5139099,149.3398037,113.7034123,34
10,123.6337125,150.0397414,131.1939655,96.8082744,25
11,95.90874483,127.7260284,100.4238013,68.7597641,25
12,69.9261208,103.0872447,75.91485956,46.61920279,25
1,123.1088714,148.030063,132.6163672,93.67081158,96
2,150.3414401,187.8382837,159.0828095,112.160269,95
3,147.5811045,169.9669027,158.6481569,120.1518772,95
4,195.3259542,221.1042702,202.7900275,167.8237309,95
5,172.5241393,182.4505678,186.3003797,151.6884521,90
6,202.0703239,228.1706883,210.9412083,176.8668311,89
7,207.7668863,319.1655307,209.493368,187.9488958,88
8,208.5641609,246.1372141,219.684323,176.4764047,73
9,209.9068518,221.2420471,216.8818895,190.1573228,45
10,,,,,0
11,,,,,0
12,,,,,0
1,141.9176442,164.8974317,153.0107049,113.1939513,89
2,119.9901913,155.1219653,132.2682361,81.86910622,84
3,167.8288174,195.879852,178.8371007,137.2153338,74
4,162.4615638,177.9945104,172.0677607,141.4768735,66
5,152.7023938,156.6571852,165.5810513,137.4444142,64
6,218.9829299,248.5989775,226.9427382,193.4652499,64
7,231.8775175,600.0641566,226.9202534,205.1801587,59
8,180.5585392,196.7977627,193.5214064,159.0016598,49
9,182.0512992,195.3641906,195.2523916,160.167924,20
10,,,,,0
11,,,,,0
12,,,,,0
1,92.01483247,115.7619244,104.5729914,61.842859,99
2,87.6750808,121.1989535,98.98039187,51.82485765,99
3,112.7816993,143.6590668,124.9854926,80.06413359,99
4,131.8728814,159.8558109,142.6072214,99.87620828,95
5,139.5418178,150.9238574,155.2518908,117.2483159,91
6,178.399519,206.0821642,189.9303584,151.1567602,91
7,218.5357827,253.7364127,226.8409329,184.7673771,91
8,222.1845549,271.6919283,232.7011762,185.8888769,85
9,202.2533454,213.6307882,213.2666924,182.28164,81
10,117.480407,141.8792141,132.5120206,90.24120466,39
11,69.2038401,82.11886684,81.50855723,51.17323096,38
12,52.77739659,49.22834715,60.98513682,47.58323808,38
1,83.53092339,102.9640484,98.2029943,55.7554167,100
2,95.74447987,124.111448,112.1493604,59.65573824,100
3,142.2972047,170.7144944,158.0135275,108.3082171,100
4,159.6354074,180.9729755,172.9200615,131.8565257,100
5,219.9237686,237.8224813,229.0967287,199.8222427,100
6,253.5028049,299.3142524,259.5370038,224.3484737,100
7,255.9451505,290.3590187,257.4624989,231.3405109,100
8,196.9328699,209.5986287,210.3796543,177.2746979,98
9,173.414077,173.2009235,188.2583993,157.0507799,86
10,193.3025254,213.3641795,207.1479607,172.0251907,51
11,163.2608018,163.4650134,178.3520406,149.5730314,38
12,134.2861857,228310,163.0700972,97.74916313,10
1,66.85634929,87.12018149,83.48350865,36.27160761,100
2,75.38287966,113.0709142,92.27083649,33.16158612,100
3,88.03498408,119.9448062,107.7940905,48.97765979,100
4,151.5762334,192.9085335,165.6600931,111.194725,100
5,175.1260077,197.2826795,189.841863,146.8096739,96
6,193.5731427,218.3611436,206.6447021,167.2817329,96
7,213.2513824,264.0020539,224.3683191,182.4751552,96
8,206.0742799,233.4899405,220.022612,179.0860674,96
9,217.1948125,232.1462067,225.6398087,197.2703184,96
10,185.5762178,198.8919101,205.1641479,166.700563,93
11,160.5945274,166.2466777,176.5390228,143.5438391,81
12,87.36796301,106.342728,103.4097075,67.12945745,46
1,57.33360103,76.90950783,74.18682792,27.16133351,100
2,55.16729069,76.59802178,74.27563934,21.6640772,100
3,76.56432469,100.8821128,96.46386168,41.15538666,96
4,135.0755189,176.2012889,152.3505186,91.97863403,95
5,160.5460339,182.5308343,177.1325269,129.6150531,95
6,188.6328863,213.720187,202.5512204,161.6727548,95
7,220.2043958,250.83366,230.3813815,187.7188721,95
8,172.3280264,175.8900498,189.4593072,153.5596643,89
9,171.7984312,175.7253003,189.0431138,149.1441893,86
10,168.5706526,190.358558,185.6215449,143.018819,84
11,138.4863365,139.7627673,156.9547196,121.1684358,83
12,74.74223362,60.08001688,93.20575913,61.56888011,83
1,54.45044339,71.09505781,71.4817932,26.25938887,96
2,52.92568063,80.64540132,71.38933936,17.47953391,95
3,68.51018951,95.66062649,91.55144493,27.72591917,95
4,123.0366724,157.05221,141.9164699,81.24546279,94
5,178.3776352,204.5393628,194.9821478,144.7850669,94
6,215.8284144,252.3482078,227.208946,187.1353162,94
7,215.7706349,242.4310441,227.9622948,183.2925973,93
8,210.9106799,236.8075459,225.4949545,184.3994855,90
9,217.7799961,226.4879513,228.1383734,200.062232,89
10,192.6983829,217.5213499,209.0340458,169.5560784,71
11,113.0534657,96.67000656,132.6227005,100.5878652,70
12,96.41562283,108.5083218,119.156382,77.66251608,70
1,53.66181405,64.6481503,70.24178579,29.90725216,99
2,51.57143652,65.36021953,71.07172117,22.28551616,98
3,79.34530563,98.27966524,103.217664,42.26604812,98
4,101.2390885,114.2150987,123.3535876,68.4662524,98
5,182.9559347,210.5519182,198.1563532,149.9916172,96
6,189.6674183,203.8420692,205.7768222,166.3728595,95
7,211.1863807,239.6840582,224.8118526,175.9221446,93
8,170.2590391,168.0434595,189.0248701,151.4048683,83
9,162.8808819,154.5796265,182.2440404,143.4182029,81
10,191.4245287,222.593006,209.3751489,165.0761428,71
11,123.189031,108.3844223,142.4710716,110.8604897,71
12,79.15945407,4.633851181,96.69612387,66.84877003,63
